2018 PNW Cross-Team Scouting Data,,,,Note: Blanks below indicate the data was not present in source dataset. If Opponent Switch blank assume Switch = Near Switch + Opponent Switch combined.,,,,,,,,,,,,,
Portland Teams - Best Single Event Performance from data available per Team (Total Avg Cubes),,,,,,,,,,,,,,,,,
,,,,Overall Average Cubes,,Averages,,Tele,,,,Maximums,,,,,Climb Assist
Event,Team Name,,Team #,Auto + Tele,Tele Only,Auto Switch Cubes,Auto Scale Cubes,Switch Cubes,Opponent Switch Cubes,Exchange Cubes,Scale Cubes,Switch Cubes,Opponent Switch Cubes,Exchange Cubes,Scale Cubes,Climb %,Capability?
Week 3 - Yakima,Stormbots,Portland,2811,9.9,9.0,0.6,0.3,0.3,0.9,5.2,2.6,3,3,9,6,0%,
Week 4 - Glacier Peak,,Portland,4450,8.9,8.3,0.6,0.0,1.3,0.1,6.9,0.0,3,1,10,0,0%,
Week 5 - Auburn Mview,,Portland,2976,8.2,7.9,0.3,0.0,5.5,,0.1,2.3,10,,1,6,0%,
Week 2 - Wilsonville,,Portland,2990,8.2,7.3,0.8,0.0,1.3,0.8,3.2,2.0,,,,,0%,
Week 4 - West Valley,Sciborgs,Portland,4061,8.1,7.2,0.9,0.0,1.0,4.8,1.4,0.0,8,8,3,0,0%,
Week 4 - Glacier Peak,,Portland,2910,7.8,7.2,0.3,0.4,0.9,1.2,0.4,4.7,3,3,3,8,91%,
Week 4 - Glacier Peak,,Portland,4911,7.3,6.8,0.1,0.4,0.6,0.4,1.9,3.9,2,4,8,8,42%,
Week 5 - Auburn Mview,,Portland,2557,7.2,6.5,0.6,0.0,1.5,,3.2,1.8,4,,6,9,45%,Yes
Week 4 - West Valley,Canine Crusaders,Portland,4980,6.9,6.4,0.5,0.1,0.1,0.4,2.0,3.9,4,4,8,6,55%,
Week 4 - Glacier Peak,,Portland,2522,6.8,5.8,1.0,0.1,0.3,1.2,2.0,2.3,2,3,8,6,0%,
Week 3 - Auburn,,Portland,2046,6.6,6.0,0.3,0.3,1.5,,1.6,2.9,5,,6,8,40%,
Week 3 - Auburn,,Portland,1778,6.5,6.5,0.0,0.0,2.9,,1.0,2.6,6,,4,9,0%,
Week 4 - Glacier Peak,,Portland,1983,6.3,5.6,0.7,0.0,0.4,0.6,0.4,4.1,4,6,4,7,7%,
Week 5 - Auburn Mview,,Portland,1318,6.2,4.4,1.0,0.8,1.5,,2.8,0.1,5,,6,1,67%,
Week 2 - Wilsonville,,Portland,2471,6.1,5.6,0.3,0.3,0.9,0.4,2.9,1.5,,,,,75%,Yes
Week 2 - Wilsonville,,Portland,6445,6.0,6.0,0.0,0.0,0.8,0.4,1.6,3.2,,,,,0%,
Week 4 - Glacier Peak,,Portland,2930,5.9,5.3,0.4,0.2,0.0,1.8,0.0,3.5,0,6,0,5,83%,
Week 5 - Auburn Mview,,Portland,2906,5.8,5.7,0.1,0.0,0.5,,0.1,5.1,1,,1,9,0%,
Week 2 - Wilsonville,,Portland,1425,5.8,5.0,0.8,0.0,0.4,0.8,2.8,1.0,,,,,78%,Yes
Week 5 - Auburn Mview,,Portland,3223,5.7,5.5,0.2,0.0,1.5,,1.9,2.1,5,,5,7,0%,
Week 4 - Glacier Peak,,Portland,2928,5.7,4.8,0.9,0.0,0.4,0.7,2.0,1.7,3,3,6,3,44%,
Week 1 - Clackamass,Wildcats,,1510,5.7,5.7,0.0,0.0,1.2,0.7,3.8,0.0,4,3,7,0,0%,Marginal
Week 4 - Glacier Peak,,Portland,4488,5.7,5.0,0.3,0.4,0.1,0.0,1.3,3.6,1,0,7,6,60%,
Week 4 - Glacier Peak,,Portland,492,5.5,5.1,0.3,0.2,0.5,1.0,0.9,2.6,3,5,8,6,8%,
Week 4 - Glacier Peak,,Portland,3218,5.5,4.9,0.4,0.1,0.1,0.9,0.1,3.7,1,5,2,7,36%,
Week 4 - West Valley,CHUCK,Portland,2147,5.2,4.6,0.2,0.4,0.7,0.3,0.5,3.2,4,1,2,6,0%,
Week 4 - West Valley,Apex,Portland,5803,5.2,4.4,0.8,0.0,0.2,0.5,1.1,2.6,3,3,9,6,91%,
Week 4 - Glacier Peak,,Portland,3663,5.1,4.9,0.2,0.0,0.4,0.0,0.4,4.0,3,0,2,8,0%,
Week 4 - West Valley,Circuit Breakers,Portland,4513,5.1,4.1,0.6,0.4,0.4,0.0,0.4,3.4,2,0,4,7,73%,
Week 4 - West Valley,Vikotics,Portland,5920,5.0,4.4,0.6,0.0,0.4,0.6,3.4,0.0,5,5,7,0,9%,
Week 5 - Auburn Mview,,Portland,360,4.9,4.0,0.9,0.0,0.6,,2.5,0.9,3,,5,8,0%,
Week 2 - Wilsonville,,Portland,997,4.9,4.9,0.0,0.0,1.3,0.0,1.3,2.3,,,,,0%,
Week 3 - Yakima,Iron Mustang,Portland,3711,4.8,3.9,0.7,0.2,0.3,0.4,1.3,1.9,2,2,8,4,80%,
Week 5 - Auburn Mview,,Portland,948,4.6,4.2,0.3,0.0,2.6,,1.6,0.1,8,,4,1,58%,
Week 2 - Wilsonville,,Portland,2635,4.6,4.0,0.6,0.0,0.3,1.2,2.4,0.0,,,,,0%,
Week 1 - Mount Vernon,,Portland,488,4.5,4.3,0.3,0.0,0.4,0.7,0.3,2.9,1,3,2,5,0%,
Week 2 - Wilsonville,,Portland,3024,4.5,4.0,0.5,0.0,0.3,0.3,0.3,3.3,,,,,0%,
Week 2 - Wilsonville,,Portland,957,4.4,3.8,0.6,0.1,0.2,1.1,2.0,0.4,,,,,0%,
Week 4 - Glacier Peak,,Portland,4512,4.4,4.4,0.0,0.0,1.1,0.2,1.9,1.1,6,3,6,5,7%,
Week 1 - Clackamass,Pigmice,,2733,4.4,3.7,0.7,0.0,1.3,0.6,1.0,1.4,3,3,5,3,0%,
Week 2 - Wilsonville (video scouted last 3 qual matches),Flaming Chickens,,1540,4.2,3.6,0.7,0.0,0.4,0.4,0.4,2.0,2,4,3,7,0%,
Week 3 - Yakima,Chaos Theory,Portland,5468,4.1,3.5,0.6,0.0,1.1,0.4,0.6,1.4,2,2,3,4,0%,
Week 4 - Glacier Peak,,Portland,4915,4.1,3.3,0.7,0.1,0.2,0.2,1.0,1.8,2,2,8,4,46%,
Week 3 - Yakima,A-05 Annex,Portland,6831,3.8,3.1,0.7,0.0,0.2,0.0,0.5,2.4,1,0,4,0,90%,
Week 3 - Auburn,,Portland,3238,3.8,3.1,0.6,0.0,0.4,,1.5,1.3,2,,3,6,50%,
Week 1 - Mount Vernon,,Portland,4469,3.7,3.7,0.0,0.0,0.7,0.0,0.7,2.3,3,0,7,5,58%,
